class_name,drop_easy,drop_hard
Aerosol can,0.008866698332017253,0.41701688043302687
Alcohol,0.031368251009118,0.6212390087343603
Battery,0.4079461470880613,0.4825305182073177
Cigarettes,0.29922195863800366,0.4671224991674987
Hammer,0.0831998919616635,0.31950934990544555
Knife,0.2541342565913809,0.6450522599160968
Laptop,-0.031078862214144798,0.06365702644115812
Lighter,0.4174501369409046,0.45491524731826066
Matches,0.7783639154096503,0.7810537842403455
Mobile phone,0.06870682541913653,0.39634694139426857
Pliers,-0.1120511734052933,0.3043239958103304
Saw,0.10179406115855036,-0.048640832309959525
Scissors,0.05528757235492254,0.47395585224824643
Screwdriver,0.5423377081993297,0.5419198644384264
Shaver,0.04308195127623915,0.555117304142895
Wrench,0.36187394787768173,0.5213554500474641
